Region,State,Year of Year,Death Penalty Status,Murder Rate,Number of Records
Northeast,New York,1995,Death Penalty,8.55,1
South,North Carolina,1995,Death Penalty,9.41,1
Midwest,North Dakota,1995,No Death Penalty,0.94,1
Midwest,Ohio,1995,Death Penalty,5.38,1
South,Oklahoma,1995,Death Penalty,12.2,1
West,Oregon,1995,Death Penalty,4.11,1
Northeast,Pennsylvania,1995,Death Penalty,6.25,1
Northeast,Rhode Island,1995,No Death Penalty,3.33,1
South,South Carolina,1995,Death Penalty,7.95,1
Midwest,South Dakota,1995,Death Penalty,1.78,1
South,Tennessee,1995,Death Penalty,10.6,1
South,Texas,1995,Death Penalty,9.04,1
West,Utah,1995,Death Penalty,3.9,1
Northeast,Vermont,1995,No Death Penalty,2.22,1
South,Virginia,1995,Death Penalty,7.6,1
West,Washington,1995,Death Penalty,5.06,1
South,West Virginia,1995,No Death Penalty,4.87,1
Midwest,Wisconsin,1995,No Death Penalty,4.27,1
West,Wyoming,1995,Death Penalty,2.08,1
Midwest,x-Midwest,1995,Region,6.9,1
Northeast,x-Northeast,1995,Region,6.2,1
South,x-South,1995,Region,9.8,1
United States,x-United States,1995,Region,8.2,1
West,x-West,1995,Region,9,1
South,Alabama,1996,Death Penalty,10.39,1
West,Alaska,1996,No Death Penalty,7.41,1
West,Arizona,1996,Death Penalty,8.51,1
South,Arkansas,1996,Death Penalty,8.73,1
West,California,1996,Death Penalty,9.15,1
West,Colorado,1996,Death Penalty,4.71,1
Northeast,Connecticut,1996,Death Penalty,4.83,1
South,Delaware,1996,Death Penalty,4.28,1
South,Florida,1996,Death Penalty,7.48,1
South,Georgia,1996,Death Penalty,8.57,1
West,Hawaii,1996,No Death Penalty,3.38,1
West,Idaho,1996,Death Penalty,3.62,1
Midwest,Illinois,1996,Death Penalty,9.95,1
Midwest,Indiana,1996,Death Penalty,7.19,1
Midwest,Iowa,1996,No Death Penalty,1.86,1
Midwest,Kansas,1996,Death Penalty,6.61,1
South,Kentucky,1996,Death Penalty,5.87,1
South,Louisiana,1996,Death Penalty,17.51,1
Northeast,Maine,1996,No Death Penalty,2.01,1
South,Maryland,1996,Death Penalty,11.59,1
Northeast,Massachusetts,1996,No Death Penalty,2.58,1
Midwest,Michigan,1996,No Death Penalty,7.53,1
Midwest,Minnesota,1996,No Death Penalty,3.59,1
South,Mississippi,1996,Death Penalty,11.08,1
Midwest,Missouri,1996,Death Penalty,8.08,1
West,Montana,1996,Death Penalty,3.87,1
Midwest,Nebraska,1996,Death Penalty,2.91,1
West,Nevada,1996,Death Penalty,13.72,1
Northeast,New Hampshire,1996,Death Penalty,1.72,1
Northeast,New Jersey,1996,Death Penalty,4.23,1
West,New Mexico,1996,Death Penalty,11.5,1
Northeast,New York,1996,Death Penalty,7.44,1
South,North Carolina,1996,Death Penalty,8.45,1
Midwest,North Dakota,1996,No Death Penalty,2.17,1
Midwest,Ohio,1996,Death Penalty,4.82,1
South,Oklahoma,1996,Death Penalty,6.76,1
West,Oregon,1996,Death Penalty,4.03,1
Northeast,Pennsylvania,1996,Death Penalty,5.69,1
Northeast,Rhode Island,1996,No Death Penalty,2.53,1
South,South Carolina,1996,Death Penalty,8.98,1
Midwest,South Dakota,1996,Death Penalty,1.23,1
South,Tennessee,1996,Death Penalty,9.45,1
South,Texas,1996,Death Penalty,7.72,1
West,Utah,1996,Death Penalty,3.15,1
Northeast,Vermont,1996,No Death Penalty,1.87,1
South,Virginia,1996,Death Penalty,7.49,1
West,Washington,1996,Death Penalty,4.61,1
South,West Virginia,1996,No Death Penalty,3.78,1
Midwest,Wisconsin,1996,No Death Penalty,3.95,1
West,Wyoming,1996,Death Penalty,3.33,1
Midwest,x-Midwest,1996,Region,6.4,1
Northeast,x-Northeast,1996,Region,5.4,1
South,x-South,1996,Region,9,1
United States,x-United States,1996,Region,7.4,1
West,x-West,1996,Region,7.7,1
South,Alabama,1997,Death Penalty,9.86,1
West,Alaska,1997,No Death Penalty,8.87,1
West,Arizona,1997,Death Penalty,8.23,1
South,Arkansas,1997,Death Penalty,9.91,1
West,California,1997,Death Penalty,7.99,1
West,Colorado,1997,Death Penalty,4.03,1
Northeast,Connecticut,1997,Death Penalty,3.79,1
South,Delaware,1997,Death Penalty,3.01,1
South,Florida,1997,Death Penalty,6.91,1
South,Georgia,1997,Death Penalty,7.52,1
West,Hawaii,1997,No Death Penalty,3.96,1
West,Idaho,1997,Death Penalty,3.22,1
Midwest,Illinois,1997,Death Penalty,9.21,1
Midwest,Indiana,1997,Death Penalty,7.33,1
Midwest,Iowa,1997,No Death Penalty,1.82,1
Midwest,Kansas,1997,Death Penalty,5.78,1
South,Kentucky,1997,Death Penalty,5.83,1
South,Louisiana,1997,Death Penalty,15.67,1
Northeast,Maine,1997,No Death Penalty,2.01,1
South,Maryland,1997,Death Penalty,9.85,1
Northeast,Massachusetts,1997,No Death Penalty,1.95,1
Midwest,Michigan,1997,No Death Penalty,7.77,1
Midwest,Minnesota,1997,No Death Penalty,2.75,1
South,Mississippi,1997,Death Penalty,13.11,1
Midwest,Missouri,1997,Death Penalty,7.89,1
West,Montana,1997,Death Penalty,4.78,1
Midwest,Nebraska,1997,Death Penalty,3.02,1
West,Nevada,1997,Death Penalty,11.15,1
Northeast,New Hampshire,1997,Death Penalty,1.36,1
Northeast,New Jersey,1997,Death Penalty,4.18,1
West,New Mexico,1997,Death Penalty,7.75,1
Northeast,New York,1997,Death Penalty,6.03,1
South,North Carolina,1997,Death Penalty,8.27,1
Midwest,North Dakota,1997,No Death Penalty,0.94,1
Midwest,Ohio,1997,Death Penalty,4.68,1
South,Oklahoma,1997,Death Penalty,6.9,1
West,Oregon,1997,Death Penalty,2.93,1
Northeast,Pennsylvania,1997,Death Penalty,5.87,1
Northeast,Rhode Island,1997,No Death Penalty,2.53,1
South,South Carolina,1997,Death Penalty,8.35,1
Midwest,South Dakota,1997,Death Penalty,1.36,1
South,Tennessee,1997,Death Penalty,9.52,1
South,Texas,1997,Death Penalty,6.83,1
West,Utah,1997,Death Penalty,2.43,1
Northeast,Vermont,1997,No Death Penalty,1.53,1
South,Virginia,1997,Death Penalty,7.25,1
West,Washington,1997,Death Penalty,4.35,1
South,West Virginia,1997,No Death Penalty,4.13,1
Midwest,Wisconsin,1997,No Death Penalty,3.97,1
West,Wyoming,1997,Death Penalty,3.54,1
Midwest,x-Midwest,1997,Region,6.1,1
Northeast,x-Northeast,1997,Region,4.8,1
South,x-South,1997,Region,8.4,1
United States,x-United States,1997,Region,6.8,1
West,x-West,1997,Region,6.8,1
South,Alabama,1998,Death Penalty,8.13,1
West,Alaska,1998,No Death Penalty,6.68,1
West,Arizona,1998,Death Penalty,8.05,1
South,Arkansas,1998,Death Penalty,7.92,1
West,California,1998,Death Penalty,6.65,1
West,Colorado,1998,Death Penalty,4.61,1
Northeast,Connecticut,1998,Death Penalty,4.12,1
South,Delaware,1998,Death Penalty,2.82,1
South,Florida,1998,Death Penalty,6.48,1
South,Georgia,1998,Death Penalty,8.09,1
West,Hawaii,1998,No Death Penalty,2.01,1
West,Idaho,1998,Death Penalty,2.93,1
Midwest,Illinois,1998,Death Penalty,8.37,1
Midwest,Indiana,1998,Death Penalty,7.7,1
Midwest,Iowa,1998,No Death Penalty,1.89,1
Midwest,Kansas,1998,Death Penalty,6.58,1
South,Kentucky,1998,Death Penalty,6.02,1
South,Louisiana,1998,Death Penalty,12.82,1
Northeast,Maine,1998,No Death Penalty,2.09,1
South,Maryland,1998,Death Penalty,9.99,1
Northeast,Massachusetts,1998,No Death Penalty,2.02,1
Midwest,Michigan,1998,No Death Penalty,7.34,1
Midwest,Minnesota,1998,No Death Penalty,2.56,1
South,Mississippi,1998,Death Penalty,11.45,1
Midwest,Missouri,1998,Death Penalty,7.34,1
West,Montana,1998,Death Penalty,2.05,1
Midwest,Nebraska,1998,Death Penalty,3.07,1
West,Nevada,1998,Death Penalty,9.73,1
Northeast,New Hampshire,1998,Death Penalty,1.52,1
Northeast,New Jersey,1998,Death Penalty,4,1
West,New Mexico,1998,Death Penalty,10.94,1
Northeast,New York,1998,Death Penalty,5.08,1
South,North Carolina,1998,Death Penalty,8.11,1
Midwest,North Dakota,1998,No Death Penalty,1.1,1
Midwest,Ohio,1998,Death Penalty,3.95,1
South,Oklahoma,1998,Death Penalty,6.1,1
West,Oregon,1998,Death Penalty,3.84,1
Northeast,Pennsylvania,1998,Death Penalty,5.27,1
Northeast,Rhode Island,1998,No Death Penalty,2.43,1
South,South Carolina,1998,Death Penalty,7.98,1
Midwest,South Dakota,1998,Death Penalty,1.36,1
South,Tennessee,1998,Death Penalty,8.47,1
South,Texas,1998,Death Penalty,6.81,1
West,Utah,1998,Death Penalty,3.1,1
Northeast,Vermont,1998,No Death Penalty,2.2,1
South,Virginia,1998,Death Penalty,6.21,1
West,Washington,1998,Death Penalty,3.94,1
South,West Virginia,1998,No Death Penalty,4.31,1
Midwest,Wisconsin,1998,No Death Penalty,3.64,1
West,Wyoming,1998,Death Penalty,4.78,1
Midwest,x-Midwest,1998,Region,5.8,1
Northeast,x-Northeast,1998,Region,4.3,1
South,x-South,1998,Region,7.8,1
United States,x-United States,1998,Region,6.3,1
West,x-West,1998,Region,6.1,1
South,Alabama,1999,Death Penalty,7.89,1
West,Alaska,1999,No Death Penalty,8.39,1
West,Arizona,1999,Death Penalty,8.04,1
South,Arkansas,1999,Death Penalty,5.6,1
West,California,1999,Death Penalty,6.05,1
West,Colorado,1999,Death Penalty,4.56,1
Northeast,Connecticut,1999,Death Penalty,3.26,1
South,Delaware,1999,Death Penalty,3.18,1
South,Florida,1999,Death Penalty,5.68,1
South,Georgia,1999,Death Penalty,7.49,1
West,Hawaii,1999,No Death Penalty,3.71,1
West,Idaho,1999,Death Penalty,2,1
Midwest,Illinois,1999,Death Penalty,7.74,1
Midwest,Indiana,1999,Death Penalty,6.58,1
Midwest,Iowa,1999,No Death Penalty,1.5,1
Midwest,Kansas,1999,Death Penalty,6.03,1
South,Kentucky,1999,Death Penalty,5.13,1
South,Louisiana,1999,Death Penalty,10.7,1
Northeast,Maine,1999,No Death Penalty,2,1
South,Maryland,1999,Death Penalty,8.99,1
Northeast,Massachusetts,1999,No Death Penalty,1.98,1
Midwest,Michigan,1999,No Death Penalty,7.05,1
Midwest,Minnesota,1999,No Death Penalty,2.81,1
South,Mississippi,1999,Death Penalty,7.69,1
Midwest,Missouri,1999,Death Penalty,6.57,1
West,Montana,1999,Death Penalty,2.49,1
Midwest,Nebraska,1999,Death Penalty,3.6,1
West,Nevada,1999,Death Penalty,9.12,1
Northeast,New Hampshire,1999,Death Penalty,1.5,1
Northeast,New Jersey,1999,Death Penalty,3.52,1
West,New Mexico,1999,Death Penalty,9.77,1
Northeast,New York,1999,Death Penalty,4.96,1
South,North Carolina,1999,Death Penalty,7.21,1
Midwest,North Dakota,1999,No Death Penalty,1.58,1
Midwest,Ohio,1999,Death Penalty,3.53,1
South,Oklahoma,1999,Death Penalty,6.88,1
West,Oregon,1999,Death Penalty,2.65,1
Northeast,Pennsylvania,1999,Death Penalty,4.94,1
Northeast,Rhode Island,1999,No Death Penalty,3.63,1
South,South Carolina,1999,Death Penalty,6.64,1
Midwest,South Dakota,1999,Death Penalty,2.46,1
South,Tennessee,1999,Death Penalty,7.13,1
South,Texas,1999,Death Penalty,6.07,1
West,Utah,1999,Death Penalty,2.07,1
Northeast,Vermont,1999,No Death Penalty,2.86,1
South,Virginia,1999,Death Penalty,5.7,1
West,Washington,1999,Death Penalty,2.97,1
South,West Virginia,1999,No Death Penalty,4.37,1
Midwest,Wisconsin,1999,No Death Penalty,3.41,1
West,Wyoming,1999,Death Penalty,2.29,1
Midwest,x-Midwest,1999,Region,5.4,1
Northeast,x-Northeast,1999,Region,4.1,1
South,x-South,1999,Region,6.9,1
United States,x-United States,1999,Region,5.7,1
West,x-West,1999,Region,5.5,1
South,Alabama,2000,Death Penalty,7.4,1
West,Alaska,2000,No Death Penalty,4.31,1
West,Arizona,2000,Death Penalty,7,1
South,Arkansas,2000,Death Penalty,6.28,1
West,California,2000,Death Penalty,6.14,1
West,Colorado,2000,Death Penalty,3.12,1
Northeast,Connecticut,2000,Death Penalty,2.88,1
South,Delaware,2000,Death Penalty,3.19,1
South,Florida,2000,Death Penalty,5.65,1
South,Georgia,2000,Death Penalty,7.95,1
West,Hawaii,2000,No Death Penalty,2.89,1
West,Idaho,2000,Death Penalty,1.24,1
Midwest,Illinois,2000,Death Penalty,7.23,1
Midwest,Indiana,2000,Death Penalty,5.79,1
Midwest,Iowa,2000,No Death Penalty,1.57,1
Midwest,Kansas,2000,Death Penalty,6.29,1
South,Kentucky,2000,Death Penalty,4.78,1
South,Louisiana,2000,Death Penalty,12.53,1
Northeast,Maine,2000,No Death Penalty,1.18,1
South,Maryland,2000,Death Penalty,8.12,1
Northeast,Massachusetts,2000,No Death Penalty,1.97,1
Midwest,Michigan,2000,No Death Penalty,6.73,1
Midwest,Minnesota,2000,No Death Penalty,3.07,1
South,Mississippi,2000,Death Penalty,8.96,1
Midwest,Missouri,2000,Death Penalty,6.2,1
West,Montana,2000,Death Penalty,2.22,1
Midwest,Nebraska,2000,Death Penalty,3.68,1
West,Nevada,2000,Death Penalty,6.46,1
Northeast,New Hampshire,2000,Death Penalty,1.78,1
Northeast,New Jersey,2000,Death Penalty,3.43,1
West,New Mexico,2000,Death Penalty,7.42,1
Northeast,New York,2000,Death Penalty,5.02,1
South,North Carolina,2000,Death Penalty,6.96,1
Midwest,North Dakota,2000,No Death Penalty,0.62,1
Midwest,Ohio,2000,Death Penalty,3.68,1
South,Oklahoma,2000,Death Penalty,5.27,1
West,Oregon,2000,Death Penalty,2.05,1
Northeast,Pennsylvania,2000,Death Penalty,4.9,1
Northeast,Rhode Island,2000,No Death Penalty,4.29,1
South,South Carolina,2000,Death Penalty,7.25,1
Midwest,South Dakota,2000,Death Penalty,0.93,1
South,Tennessee,2000,Death Penalty,7.21,1
South,Texas,2000,Death Penalty,5.94,1
West,Utah,2000,Death Penalty,1.93,1
Northeast,Vermont,2000,No Death Penalty,1.48,1
South,Virginia,2000,Death Penalty,5.67,1
West,Washington,2000,Death Penalty,3.33,1
South,West Virginia,2000,No Death Penalty,2.54,1
Midwest,Wisconsin,2000,No Death Penalty,3.15,1
West,Wyoming,2000,Death Penalty,2.43,1
Midwest,x-Midwest,2000,Region,5.1,1
Northeast,x-Northeast,2000,Region,4,1
South,x-South,2000,Region,6.9,1
United States,x-United States,2000,Region,5.5,1
West,x-West,2000,Region,5.2,1
South,Alabama,2001,Death Penalty,8.48,1
West,Alaska,2001,No Death Penalty,6.16,1
West,Arizona,2001,Death Penalty,7.54,1
South,Arkansas,2001,Death Penalty,5.49,1
West,California,2001,Death Penalty,6.38,1
West,Colorado,2001,Death Penalty,3.57,1
Northeast,Connecticut,2001,Death Penalty,3.06,1
South,Delaware,2001,Death Penalty,2.89,1
South,Florida,2001,Death Penalty,5.34,1
South,Georgia,2001,Death Penalty,7.11,1
West,Hawaii,2001,No Death Penalty,2.61,1
West,Idaho,2001,Death Penalty,2.27,1
Midwest,Illinois,2001,Death Penalty,7.84,1
Midwest,Indiana,2001,Death Penalty,6.74,1
Midwest,Iowa,2001,No Death Penalty,1.71,1
Midwest,Kansas,2001,Death Penalty,3.4,1
South,Kentucky,2001,Death Penalty,4.45,1
South,Louisiana,2001,Death Penalty,11.21,1
Northeast,Maine,2001,No Death Penalty,1.48,1
South,Maryland,2001,Death Penalty,8.28,1
Northeast,Massachusetts,2001,No Death Penalty,2.23,1
Midwest,Michigan,2001,No Death Penalty,6.72,1
Midwest,Minnesota,2001,No Death Penalty,2.39,1
South,Mississippi,2001,Death Penalty,9.86,1
Midwest,Missouri,2001,Death Penalty,6.6,1
West,Montana,2001,Death Penalty,3.76,1
Midwest,Nebraska,2001,Death Penalty,2.5,1
West,Nevada,2001,Death Penalty,8.58,1
Northeast,New Hampshire,2001,Death Penalty,1.35,1
Northeast,New Jersey,2001,Death Penalty,3.95,1
West,New Mexico,2001,Death Penalty,5.41,1
Northeast,New York,2001,Death Penalty,5.03,1
South,North Carolina,2001,Death Penalty,6.15,1
Midwest,North Dakota,2001,No Death Penalty,1.1,1
Midwest,Ohio,2001,Death Penalty,3.97,1
South,Oklahoma,2001,Death Penalty,5.33,1
West,Oregon,2001,Death Penalty,2.42,1
Northeast,Pennsylvania,2001,Death Penalty,5.29,1
Northeast,Rhode Island,2001,No Death Penalty,3.68,1
South,South Carolina,2001,Death Penalty,8.12,1
Midwest,South Dakota,2001,Death Penalty,0.92,1
South,Tennessee,2001,Death Penalty,7.36,1
South,Texas,2001,Death Penalty,6.23,1
West,Utah,2001,Death Penalty,2.94,1
Northeast,Vermont,2001,No Death Penalty,1.14,1
South,Virginia,2001,Death Penalty,5.06,1
West,Washington,2001,Death Penalty,2.99,1
South,West Virginia,2001,No Death Penalty,2.22,1
Midwest,Wisconsin,2001,No Death Penalty,3.55,1
West,Wyoming,2001,Death Penalty,1.82,1
Midwest,x-Midwest,2001,Region,5.2,1
Northeast,x-Northeast,2001,Region,4.2,1
South,x-South,2001,Region,6.7,1
United States,x-United States,2001,Region,5.6,1
West,x-West,2001,Region,5.4,1
South,Alabama,2002,Death Penalty,6.77,1
West,Alaska,2002,No Death Penalty,5.14,1
West,Arizona,2002,Death Penalty,7.11,1
South,Arkansas,2002,Death Penalty,5.25,1
West,California,2002,Death Penalty,6.84,1
West,Colorado,2002,Death Penalty,3.98,1
Northeast,Connecticut,2002,Death Penalty,2.43,1
South,Delaware,2002,Death Penalty,3.23,1
South,Florida,2002,Death Penalty,5.46,1
South,Georgia,2002,Death Penalty,7.09,1
West,Hawaii,2002,No Death Penalty,1.93,1
West,Idaho,2002,Death Penalty,2.68,1
Midwest,Illinois,2002,Death Penalty,7.64,1
Midwest,Indiana,2002,Death Penalty,5.88,1
Midwest,Iowa,2002,No Death Penalty,1.5,1
Midwest,Kansas,2002,Death Penalty,2.88,1
South,Kentucky,2002,Death Penalty,4.67,1
South,Louisiana,2002,Death Penalty,13.25,1
Northeast,Maine,2002,No Death Penalty,1.08,1
South,Maryland,2002,Death Penalty,9.41,1
Northeast,Massachusetts,2002,No Death Penalty,2.69,1
Midwest,Michigan,2002,No Death Penalty,6.75,1
Midwest,Minnesota,2002,No Death Penalty,2.23,1
South,Mississippi,2002,Death Penalty,9.21,1
Midwest,Missouri,2002,Death Penalty,5.84,1
West,Montana,2002,Death Penalty,1.76,1
Midwest,Nebraska,2002,Death Penalty,2.78,1
West,Nevada,2002,Death Penalty,8.35,1
Northeast,New Hampshire,2002,Death Penalty,0.94,1
Northeast,New Jersey,2002,Death Penalty,3.95,1
West,New Mexico,2002,Death Penalty,8.21,1
Northeast,New York,2002,Death Penalty,4.75,1
South,North Carolina,2002,Death Penalty,6.6,1
Midwest,North Dakota,2002,No Death Penalty,0.79,1
Midwest,Ohio,2002,Death Penalty,4.61,1
South,Oklahoma,2002,Death Penalty,4.67,1
West,Oregon,2002,Death Penalty,2.05,1
Northeast,Pennsylvania,2002,Death Penalty,5.06,1
Northeast,Rhode Island,2002,No Death Penalty,3.84,1
South,South Carolina,2002,Death Penalty,7.26,1
Midwest,South Dakota,2002,Death Penalty,1.45,1
South,Tennessee,2002,Death Penalty,7.25,1
South,Texas,2002,Death Penalty,5.99,1
West,Utah,2002,Death Penalty,2.03,1
Northeast,Vermont,2002,No Death Penalty,2.11,1
South,Virginia,2002,Death Penalty,5.32,1
West,Washington,2002,Death Penalty,3.03,1
South,West Virginia,2002,No Death Penalty,3.16,1
Midwest,Wisconsin,2002,No Death Penalty,2.83,1
West,Wyoming,2002,Death Penalty,3.01,1
Midwest,x-Midwest,2002,Region,5.1,1
Northeast,x-Northeast,2002,Region,4.1,1
South,x-South,2002,Region,6.8,1
United States,x-United States,2002,Region,5.6,1
West,x-West,2002,Region,5.7,1
South,Alabama,2003,Death Penalty,6.64,1
West,Alaska,2003,No Death Penalty,6.02,1
West,Arizona,2003,Death Penalty,7.9,1
South,Arkansas,2003,Death Penalty,6.6,1
West,California,2003,Death Penalty,6.79,1
West,Colorado,2003,Death Penalty,4.07,1
Northeast,Connecticut,2003,Death Penalty,3.21,1
South,Delaware,2003,Death Penalty,2.57,1
South,Florida,2003,Death Penalty,5.44,1
South,Georgia,2003,Death Penalty,7.57,1
West,Hawaii,2003,No Death Penalty,1.76,1
West,Idaho,2003,Death Penalty,1.9,1
Midwest,Illinois,2003,Death Penalty,7.08,1
Midwest,Indiana,2003,Death Penalty,5.45,1
Midwest,Iowa,2003,No Death Penalty,1.7,1
Midwest,Kansas,2003,Death Penalty,4.59,1
South,Kentucky,2003,Death Penalty,4.4,1
South,Louisiana,2003,Death Penalty,13,1
Northeast,Maine,2003,No Death Penalty,1.22,1
South,Maryland,2003,Death Penalty,9.52,1
Northeast,Massachusetts,2003,No Death Penalty,2.18,1
Midwest,Michigan,2003,No Death Penalty,6.07,1
Midwest,Minnesota,2003,No Death Penalty,2.51,1
South,Mississippi,2003,Death Penalty,9.26,1
Midwest,Missouri,2003,Death Penalty,5.05,1
West,Montana,2003,Death Penalty,3.27,1
Midwest,Nebraska,2003,Death Penalty,3.22,1
West,Nevada,2003,Death Penalty,8.79,1
Northeast,New Hampshire,2003,Death Penalty,1.32,1
Northeast,New Jersey,2003,Death Penalty,4.7,1
West,New Mexico,2003,Death Penalty,6.17,1
Northeast,New York,2003,Death Penalty,4.86,1
South,North Carolina,2003,Death Penalty,6.01,1
Midwest,North Dakota,2003,No Death Penalty,1.42,1
Midwest,Ohio,2003,Death Penalty,4.6,1
South,Oklahoma,2003,Death Penalty,5.87,1
West,Oregon,2003,Death Penalty,1.91,1
Northeast,Pennsylvania,2003,Death Penalty,5.23,1
Northeast,Rhode Island,2003,No Death Penalty,2.32,1
South,South Carolina,2003,Death Penalty,7.3,1
Midwest,South Dakota,2003,Death Penalty,1.31,1
South,Tennessee,2003,Death Penalty,6.77,1
South,Texas,2003,Death Penalty,6.43,1
West,Utah,2003,Death Penalty,2.55,1
Northeast,Vermont,2003,No Death Penalty,2.42,1
South,Virginia,2003,Death Penalty,5.65,1
West,Washington,2003,Death Penalty,2.97,1
South,West Virginia,2003,No Death Penalty,4.03,1
Midwest,Wisconsin,2003,No Death Penalty,3.34,1
West,Wyoming,2003,Death Penalty,2.79,1
Midwest,x-Midwest,2003,Region,4.9,1
Northeast,x-Northeast,2003,Region,4.2,1
South,x-South,2003,Region,6.9,1
United States,x-United States,2003,Region,5.7,1
West,x-West,2003,Region,5.7,1
South,Alabama,2004,Death Penalty,5.61,1
West,Alaska,2004,No Death Penalty,5.63,1
West,Arizona,2004,Death Penalty,7.21,1
South,Arkansas,2004,Death Penalty,6.4,1
West,California,2004,Death Penalty,6.67,1
West,Colorado,2004,Death Penalty,4.37,1
Northeast,Connecticut,2004,Death Penalty,2.86,1
South,Delaware,2004,Death Penalty,3.37,1
South,Florida,2004,Death Penalty,5.44,1
South,Georgia,2004,Death Penalty,6.87,1
West,Hawaii,2004,No Death Penalty,2.61,1
West,Idaho,2004,Death Penalty,2.22,1
Midwest,Illinois,2004,Death Penalty,6.14,1
